time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2012.75,295,'C620',20278.3223,5354.7651,281.8294,346.9941,12.2331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.3589,0.8374,0.0000,0.0000,277.4357,3.3497,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5774,0.0207,0.0000,0.0000,0.0765,0.0059,0.0000,0.0000,346.9941,12.2331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.1128,0.6010,0.0000,0.0000,166.5501,3.6920,0.0000,0.0000,6.9357,0.1557,0.0000,0.0000,42.6049,0.9564,0.0000,0.0000
2013.75,295,'SYBN100',20821.7266,5451.4497,286.9179,177.8301,24.1354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.1135,2.4918,0.0000,0.0000,292.4542,9.9672,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9963,0.1419,0.0000,0.0000,0.3541,0.0245,0.0000,0.0000,177.8301,24.1354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8893,0.3660,0.0000,0.0000,54.6055,2.2481,0.0000,0.0000,2.3473,0.0959,0.0000,0.0000,14.4191,0.5893,0.0000,0.0000
2014.75,295,'C620',21433.5332,5656.6465,297.7178,335.1467,10.7358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.3320,0.6067,0.0000,0.0000,221.3281,2.4269,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5093,0.0000,0.0000,0.0000,0.2466,0.0190,0.0000,0.0000,335.1467,10.7358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.3047,0.5428,0.0000,0.0000,149.3001,3.3341,0.0000,0.0000,5.1389,0.1151,0.0000,0.0000,31.5676,0.7071,0.0000,0.0000
2015.75,295,'SYBN100',21998.6777,5755.5825,302.9250,226.0532,26.7330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.8160,1.9859,0.0000,0.0000,271.2638,7.9435,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.7777,0.4576,0.0000,0.0000,0.6404,0.0471,0.0000,0.0000,226.0532,26.7330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1253,0.3710,0.0000,0.0000,56.0554,2.2788,0.0000,0.0000,2.3714,0.0949,0.0000,0.0000,14.5670,0.5832,0.0000,0.0000
2016.75,295,'C620',22726.9766,5990.5977,315.2945,400.5623,12.8739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.5466,0.7209,0.0000,0.0000,262.1862,2.8837,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.8100,0.9728,0.0000,0.0000,0.8455,0.0641,0.0000,0.0000,400.5623,12.8739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.2740,0.6092,0.0000,0.0000,167.5404,3.7423,0.0000,0.0000,6.4507,0.1447,0.0000,0.0000,39.6254,0.8888,0.0000,0.0000
2017.75,295,'SYBN100',23320.7129,6098.9678,320.9984,237.4965,27.7857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.2489,2.0641,0.0000,0.0000,284.9958,8.2563,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6515,0.0939,0.0000,0.0000,0.3229,0.0218,0.0000,0.0000,237.4965,27.7857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.7769,0.3966,0.0000,0.0000,60.0579,2.4364,0.0000,0.0000,2.6786,0.1068,0.0000,0.0000,16.4542,0.6563,0.0000,0.0000
2018.75,295,'C620',24040.9805,6344.6924,333.9315,396.1405,11.6125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.8230,0.6503,0.0000,0.0000,259.2919,2.6012,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.9456,0.1301,0.0000,0.0000,0.2764,0.0201,0.0000,0.0000,396.1405,11.6125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3700,0.6308,0.0000,0.0000,174.2730,3.8747,0.0000,0.0000,6.8674,0.1528,0.0000,0.0000,42.1853,0.9388,0.0000,0.0000
2019.75,295,'SYBN100',24580.0938,6436.7871,338.7789,215.6468,25.9447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.6940,1.9273,0.0000,0.0000,258.7761,7.7093,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.1711,0.3872,0.0000,0.0000,0.6234,0.0402,0.0000,0.0000,215.6468,25.9447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3904,0.3422,0.0000,0.0000,51.5410,2.1019,0.0000,0.0000,2.2713,0.0913,0.0000,0.0000,13.9525,0.5609,0.0000,0.0000
2020.75,295,'C620',25250.0879,6658.8740,350.4678,336.2298,10.8919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.7536,0.7407,0.0000,0.0000,267.0143,2.9627,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2426,0.0315,0.0000,0.0000,0.1252,0.0089,0.0000,0.0000,336.2298,10.8919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.9956,0.5775,0.0000,0.0000,159.6876,3.5472,0.0000,0.0000,5.8973,0.1316,0.0000,0.0000,36.2264,0.8084,0.0000,0.0000
2021.75,295,'SYBN100',25810.5234,6757.0635,355.6358,201.6624,25.5365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.7536,2.2776,0.0000,0.0000,287.0144,9.1103,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3080,0.0042,0.0000,0.0000,0.1422,0.0093,0.0000,0.0000,201.6624,25.5365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8252,0.3608,0.0000,0.0000,54.2118,2.2161,0.0000,0.0000,2.4597,0.0992,0.0000,0.0000,15.1093,0.6091,0.0000,0.0000
2022.75,295,'C620',26503.7500,6986.4800,367.7107,354.3176,11.0957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.7791,0.7274,0.0000,0.0000,271.1164,2.9096,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8605,0.0832,0.0000,0.0000,0.2638,0.0183,0.0000,0.0000,354.3176,11.0957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.6885,0.5919,0.0000,0.0000,163.9439,3.6359,0.0000,0.0000,6.2216,0.1383,0.0000,0.0000,38.2185,0.8494,0.0000,0.0000
